date,open,low,high,close,volume,transactions,vwap
4/10/23,179.94,176.11,185.1,184.51,142054637,1320894,181.065
4/11/23,186.69,185.6475,189.19,186.79,115770892,1073591,187.3863
4/12/23,190.74,180.31,191.5846,180.54,150256278,1344528,184.4904
4/13/23,182.955,180.94,186.5,185.9,112932985,979661,184.8249
4/14/23,183.95,182.01,186.28,185,96408489,874608,184.0059
4/17/23,186.32,182.69,189.69,187.04,116662189,1084265,185.6576
4/18/23,187.15,183.5775,187.69,184.31,92066996,851223,185.1176
4/19/23,179.1,177.65,183.5,180.59,125727287,1398577,180.0481
4/20/23,166.165,160.56,169.7,162.99,210925047,2473944,164.9342
4/21/23,164.8,161.3208,166,165.08,123538954,1209577,164.1298
4/24/23,164.65,158.61,165.65,162.55,140006559,1306873,161.4701
4/25/23,159.82,158.75,163.47,160.67,121999312,1054894,161.7449
4/26/23,160.29,153.14,160.67,153.75,153364142,1440737,155.8253
4/27/23,152.64,152.37,160.48,160.19,127015177,1211251,157.2154
4/28/23,160.9,157.32,165,164.31,122515812,1000417,162.4465
5/1/23,163.17,158.83,163.28,161.83,109000248,942091,161.3388
5/2/23,161.88,158.93,165.49,160.31,128259744,1017086,161.8159
5/3/23,160.01,159.91,165,160.61,119712912,1050061,163.2688
5/4/23,162.71,159.65,162.95,161.2,95108192,856340,161.3815
5/5/23,163.97,163.51,170.7899,170.06,107575799,1000323,168.1264
5/8/23,173.72,169.19,173.8,171.79,112248249,1090569,171.3729
5/9/23,168.95,166.56,169.82,169.15,88859843,923861,168.1513
5/10/23,172.55,166.68,174.43,168.54,119798843,1252311,170.2634
5/11/23,168.7,166.79,173.57,172.08,103871205,1111436,169.581
5/12/23,176.07,167.23,177.38,167.98,157768815,1519118,171.2819
5/15/23,167.655,164.5499,169.76,166.35,105592510,1001741,166.901
5/16/23,165.65,164.35,169.5184,166.52,98287142,919427,167.3766
5/17/23,168.41,167.185,174.5,173.86,125439358,1177814,172.3315
5/18/23,174.22,172.45,177.06,176.89,109520332,1017064,174.8142
5/19/23,177.17,176.31,181.95,180.14,136190926,1218727,179.5693
5/22/23,180.7,180.11,189.32,188.87,132001430,1292954,185.6701
5/23/23,186.2,185.26,192.96,185.77,156952042,1376479,188.7664
5/24/23,182.23,178.22,184.22,182.9,137603831,1266046,181.4964
5/25/23,186.54,180.58,186.78,184.47,96870719,954331,184.1518
5/26/23,184.62,184.53,198.6,193.17,162030446,1506510,193.1191
5/30/23,200.1,197.53,204.48,201.16,128811186,1392075,200.4723
5/31/23,199.78,195.12,203.95,203.93,150663736,1291743,199.4814
6/1/23,202.59,199.37,209.8,207.52,148029931,1452082,205.0753
6/2/23,210.15,209.752,217.25,213.97,164397946,1519941,214.4711
6/5/23,217.8,214.52,221.29,217.61,151111552,1507030,218.1987
6/6/23,216.14,212.53,221.91,221.31,146907576,1374449,218.0639
6/7/23,228,223.2,230.8296,224.57,185630591,1779251,226.6049
6/8/23,224.22,223.01,235.23,234.86,164477139,1601724,231.9463
6/9/23,249.07,242.02,252.42,244.4,200174671,2091072,247.1601
6/12/23,247.94,244.59,250.97,249.83,150739148,1492715,247.9797
6/13/23,253.51,251.34,259.68,258.71,162369003,1659913,255.9313
6/14/23,260.17,250.5,261.57,256.79,170543752,1699819,257.1938
6/15/23,248.4,247.29,258.95,255.9,160133746,1649231,255.4895
6/16/23,258.92,257.2091,263.6,260.54,167765649,1570149,260.5693
6/20/23,261.5,261.12,274.75,274.45,165599166,1711489,267.9665
6/21/23,275.13,257.78,276.99,259.46,211779399,2158241,265.4343
6/22/23,250.77,248.25,265,264.61,166575944,1729979,259.8135
6/23/23,259.29,252.8,262.45,256.6,177443153,1712265,257.7192
6/26/23,250.065,240.7,258.37,241.05,179982707,1935767,248.4735
6/27/23,243.24,240.85,250.3899,250.21,164969701,1621353,246.0817
6/28/23,249.7,248.89,259.88,256.24,159743027,1543974,255.8218
6/29/23,258.03,253.61,260.74,257.5,131283360,1320690,256.8825
6/30/23,260.6,259.89,264.45,261.77,112611784,1188035,262.7358
7/3/23,276.49,275.11,284.25,279.82,119685880,1447866,279.4365
7/5/23,278.82,277.6,283.85,282.48,131530722,1349408,280.5643
7/6/23,278.09,272.88,279.97,276.54,120707419,1301074,276.5306
7/7/23,278.43,273.77,280.78,274.43,113877074,1204966,277.4963
7/10/23,276.47,265.1,277.52,269.61,119424888,1360793,269.9791
7/11/23,268.65,266.37,270.9,269.79,91962158,1022617,268.5294
7/12/23,276.325,271.46,276.52,271.99,95672096,1030817,273.493
7/13/23,274.59,270.6,279.45,277.9,112643377,1143303,274.8434
7/14/23,277.01,276.31,285.3,281.38,120062369,1267631,280.6967
7/17/23,286.625,283.57,292.23,290.38,131036703,1502635,288.1194
7/18/23,290.15,286.01,295.26,293.34,112430213,1261081,290.1081
7/19/23,296.04,289.5201,299.29,291.26,142337536,1785262,294.2295
7/20/23,279.56,261.2,280.93,262.9,175157173,2366829,269.7666
7/21/23,268,255.8,268,260.02,160727973,1641737,261.901
7/24/23,255.85,254.12,269.85,269.06,137004890,1546265,264.1066
7/25/23,272.38,265,272.9,265.28,112736277,1253631,268.5547
7/26/23,263.25,261.75,268.04,264.35,95643449,983277,264.8215
7/27/23,268.31,255.3,269.13,255.71,103688763,1205578,262.8828
7/28/23,259.86,258.2312,267.25,266.44,111346026,1121337,264.2884
7/31/23,267.48,263.78,269.08,267.43,84582172,1000105,266.6378
8/1/23,266.26,260.25,266.47,261.07,83645720,987672,262.3584
8/2/23,255.57,250.49,259.52,254.11,101741165,1221499,254.7165
8/3/23,252.04,252,260.49,259.32,97795545,1029717,256.8055
8/4/23,260.97,253.11,264.77,253.86,99539907,1052951,258.2077
8/7/23,251.45,242.76,253.6511,251.45,111084193,1357592,247.8972
8/8/23,247.45,245.01,250.92,249.7,96630383,1029800,248.5626
8/9/23,250.87,241.9,251.1,242.19,101526974,1078043,245.2037
8/10/23,245.4,243,251.8,245.34,109498608,1138640,246.9181
8/11/23,241.77,238.02,243.79,242.65,99038642,1121626,241.4995
8/14/23,235.7,233.75,240.66,239.76,98565731,1396377,237.8669
8/15/23,238.73,232.61,240.5,232.96,88185999,1052692,235.1623
8/16/23,228.02,225.38,233.97,225.6,112426570,1294910,229.1976
8/17/23,226.06,218.83,226.74,219.22,120704917,1321070,222.85
8/18/23,214.12,212.36,217.58,215.49,136244960,1455623,215.3288
8/21/23,221.5512,220.58,232.1343,231.28,135675321,1473816,227.5632
8/22/23,240.25,229.55,240.82,233.19,130586984,1381420,234.5499
8/23/23,229.34,229.29,238.98,236.86,101077635,1084515,235.0747
8/24/23,238.66,228.1801,238.92,230.04,99777432,1104709,231.9755
8/25/23,231.31,230.35,239,238.59,106612231,1174889,235.0638
8/28/23,242.58,235.35,244.38,238.82,107673727,1146272,238.5989
8/29/23,238.58,237.77,257.48,257.18,134012603,1417783,250.6305
8/30/23,254.2,250.59,260.51,256.9,121978637,1295115,255.8745
8/31/23,255.98,255.05,261.18,258.08,108861698,1066702,258.0347
9/1/23,257.26,242.01,259.0794,245.01,132481248,1530006,248.2783
9/5/23,245,244.86,258,256.49,129455425,1370036,253.7066
9/6/23,255.135,245.06,255.39,251.92,116952759,1210605,249.5469
9/7/23,245.07,243.265,252.81,251.49,115312886,1181884,248.2384
9/8/23,251.22,246.67,256.52,248.5,118558435,1195152,251.3775
9/11/23,264.27,260.61,274.85,273.58,174667852,2038943,268.7353
9/12/23,270.76,266.6,278.39,267.48,135991116,1441860,271.5987
9/13/23,270.07,268.1,274.98,271.3,111673737,1171063,271.5792
9/14/23,271.32,270.42,276.7094,276.04,107709842,1157725,274.4959
9/15/23,277.55,271,278.98,274.39,133692313,1265828,274.3254
9/18/23,271.16,263.7601,271.44,265.28,101540959,1255060,266.8305
9/19/23,264.35,261.2,267.85,266.5,103677113,1069956,264.9527
9/20/23,267.04,262.4606,273.93,262.59,122491643,1270817,268.2638
9/21/23,257.85,254.21,260.86,255.7,119803341,1302275,257.4932
9/22/23,257.4,244.48,257.7888,244.88,127524083,1375477,251.4177
9/25/23,243.38,238.31,247.1,246.99,104583747,1196095,244.196
9/26/23,242.98,241.6601,249.55,244.12,101934431,1116799,245.5599
9/27/23,244.262,234.58,245.33,240.5,136585184,1393258,240.4794
9/28/23,240.02,238.65,247.55,246.38,117043180,1189970,243.9989
9/29/23,250,246.35,254.77,250.22,128472729,1255457,251.0357
10/2/23,244.81,242.62,254.2799,251.6,123810402,1312503,249.4017
10/3/23,248.61,244.45,250.02,246.53,101985305,1065226,247.3658
10/4/23,248.14,247.6,261.86,261.16,129721567,1387951,255.8023
10/5/23,260,256.25,263.6,260.05,119159214,1197554,259.6693
10/6/23,253.98,250.65,261.65,260.53,118108312,1279578,256.3231
10/9/23,255.31,252.05,261.36,259.67,101377947,1144671,256.316
10/10/23,257.75,257.65,268.94,263.62,122656030,1241209,264.9455
10/11/23,266.2,260.9,268.6,262.99,103706266,1077420,264.0689
10/12/23,262.92,256.6307,265.41,258.87,111508114,1178130,261.7214
10/13/23,258.9,250.22,259.6,251.12,102137686,1103537,254.0476
10/16/23,250.05,248.48,255.3999,253.92,88916276,1045782,252.9076
10/17/23,250.1,247.08,257.183,254.85,93535509,1021349,253.2246
10/18/23,252.7,242.08,254.63,242.68,125116646,1469279,246.0077
10/19/23,225.95,216.78,230.61,220.11,170588573,2326772,221.9815
10/20/23,217.01,210.42,218.8606,211.99,137930095,1583137,214.0053
10/23/23,210,202.51,216.98,212.08,150453468,1657457,211.5664
10/24/23,216.5,214.11,222.05,216.52,118096713,1290762,217.6314
10/25/23,215.88,212.2,220.1,212.42,107049087,1208565,215.9507
10/26/23,211.32,204.88,214.8,205.76,115095735,1274886,208.3265
10/27/23,210.6,205.77,212.41,207.3,94717973,1046253,208.6603
10/30/23,209.28,191.25,211.35,197.36,136460923,1629404,200.01
10/31/23,196.12,194.07,202.8,200.84,118053273,1387675,199.042
11/1/23,204.04,197.85,205.99,205.66,121661656,1317336,201.9491
11/2/23,212.97,211.45,219.2,218.51,125959421,1337243,216.3665
11/3/23,221.15,218.4,226.3701,219.96,119526048,1247124,221.1584
11/6/23,223.98,215,226.32,219.27,116835820,1265451,219.5877
11/7/23,219.98,215.72,223.12,222.18,116897380,1140820,219.1401
11/8/23,223.15,217.64,224.15,222.11,106384841,1069813,220.3064
11/9/23,219.75,206.68,220.8,209.98,142065154,1958803,211.8254
11/10/23,210.03,205.69,215.38,214.65,131295153,1428602,211.7762
11/13/23,215.6,211.6101,225.4,223.71,140428469,1472796,221.1108
11/14/23,235.03,230.72,238.135,237.41,149762546,1534896,234.6568
11/15/23,239.29,236.45,246.7,242.84,150353975,1552666,242.712
11/16/23,239.49,230.96,240.88,233.59,136774269,1390500,235.5195
11/17/23,232,226.54,237.39,234.3,142766234,1376656,233.2793
11/20/23,234.04,231.02,237.1,235.6,116562402,1218181,234.2284
11/21/23,235.04,233.34,243.62,241.2,122248300,1216429,240.8894
11/22/23,242.04,231.4,244.01,234.21,118117078,1286800,234.7311
11/24/23,233.75,232.33,238.75,235.45,65125203,738517,236.3998
11/27/23,236.89,232.1,238.33,236.08,112031163,1163102,235.6226
11/28/23,236.68,234.01,247,246.72,148549913,1509707,241.1269
11/29/23,249.21,242.76,252.75,244.14,135380335,1385359,248.0515
11/30/23,245.14,236.91,245.22,240.08,132353076,1269308,240.6912
12/1/23,233.14,231.9,240.19,238.83,121303661,1293932,236.4795
12/4/23,235.75,233.2902,239.3733,235.58,104088317,1093633,236.4293
12/5/23,233.87,233.7,246.66,238.72,137964815,1293977,241.0369
12/6/23,242.92,239.1709,246.57,239.37,126436179,1204150,243.3527
12/7/23,241.55,236.98,244.08,242.64,107142262,1043183,240.8987
12/8/23,240.27,239.2701,245.27,243.84,103123229,1036360,243.0075
12/11/23,242.74,237.45,243.441,239.74,97911388,1127501,240.1813
12/12/23,238.55,233.87,238.99,237.01,95326563,1060241,235.8497
12/13/23,234.19,228.2,240.3,239.29,146266957,1443516,233.8525
12/14/23,241.22,240.79,253.88,251.05,160645939,1655399,248.748
12/15/23,251.21,248.3,254.13,253.5,135857762,1185363,252.0408
12/18/23,253.78,251.36,258.74,252.08,116388940,1224002,254.9377
12/19/23,253.48,253.01,258.3399,257.22,106690869,1030199,256.1921
12/20/23,256.41,247,259.84,247.14,125096987,1274341,254.4666
12/21/23,251.9,248.55,254.7999,254.5,109594227,1049924,252.0455
12/22/23,256.76,251.37,258.22,252.54,93368169,971207,255.1771
12/26/23,254.49,252.91,257.97,256.61,86892382,948750,256.3719
12/27/23,258.35,257.52,263.34,261.44,106481409,1042993,261.7265
12/28/23,263.66,252.71,265.13,253.18,113619943,1159565,258.4918
12/29/23,255.1,247.43,255.19,248.48,100891578,1062988,250.3555
1/2/24,250.08,244.41,251.25,248.42,104654163,1177663,248.345
1/3/24,244.98,236.32,245.68,238.45,121082599,1273469,239.8167
1/4/24,239.25,237.73,242.7,237.93,102618283,1001611,240.2989
1/5/24,236.86,234.9001,240.1196,237.49,92488939,934668,237.8911
1/8/24,236.14,235.3,241.25,240.45,85163330,970810,238.5962
1/9/24,238.11,232.04,238.9646,234.96,96701528,1054998,234.7009
1/10/24,235.1,231.29,235.5,233.94,91612402,937256,233.4978
1/11/24,230.57,225.37,230.93,227.22,105871212,1265643,227.6145
1/12/24,220.08,217.1501,225.34,218.89,122915812,1419628,220.383
1/16/24,215.1,212.18,223.49,219.91,114835186,1357892,219.4007
1/17/24,214.86,212.01,215.67,215.55,103130830,1161983,213.906
1/18/24,216.88,208.74,217.45,211.88,108560656,1223035,212.2767
1/19/24,209.99,207.56,213.19,212.19,102120143,1122838,210.3968
1/22/24,212.26,206.27,217.8,208.8,117952527,1318218,210.6795
1/23/24,211.3,207.7516,215.65,209.14,106537446,1091192,210.5223
1/24/24,211.88,206.77,212.73,207.83,123285962,1478416,208.6014
1/25/24,189.7,180.06,193,182.63,197923887,2719557,185.1604
1/26/24,185.5,182.1,186.78,183.25,107387389,1327741,183.981
1/29/24,185.63,183.67,191.48,190.93,124961148,1435688,188.0719
1/30/24,195.33,190.61,196.3593,191.59,109965827,1288182,192.7975
1/31/24,186.995,185.8459,193.97,187.29,103221430,1144880,189.738
2/1/24,188.5,184.28,189.88,188.86,91843275,1047610,187.2996
2/2/24,185.04,182,188.69,187.91,110612672,1270925,185.0738
2/5/24,184.26,175.01,184.68,181.06,133945447,1633993,179.9759
2/6/24,177.21,177.11,186.49,185.1,122575954,1204085,183.3862
2/7/24,188.18,182.68,189.79,187.58,111535217,1124191,187.173
2/8/24,189,185.58,191.6171,189.56,83034043,925084,189.2636
2/9/24,190.18,189.48,194.12,193.57,84476347,967370,192.5072
2/12/24,192.11,187.28,194.73,188.13,95431097,1166263,190.5537
2/13/24,183.99,182.1087,187.26,184.02,86759478,1089659,184.2019
2/14/24,185.3,183.35,188.89,188.71,81202987,924102,186.4091
2/15/24,189.16,188.8595,200.88,200.45,120815962,1314343,195.9921
2/16/24,202.06,197.4,203.17,199.95,111346705,1249787,200.3373
2/20/24,196.13,189.13,198.6,193.76,104537762,1220065,192.5316
2/21/24,193.36,191.95,199.44,194.77,103844008,1059381,194.8469
2/22/24,194,191.36,198.32,197.41,92739461,1017519,195.1994
2/23/24,195.31,191.5,197.57,191.97,78841917,923289,193.9786
2/26/24,192.29,192,201.78,199.4,111628616,1169824,198.8533
2/27/24,204.04,198.26,205.6,199.73,108606912,1131568,201.4718
2/28/24,200.42,198.44,205.3,202.04,99806173,1027322,202.5349
2/29/24,204.18,198.4463,205.28,201.88,85905374,943617,201.4557
3/1/24,200.52,198.5,204.52,202.64,82243119,952621,201.584
3/4/24,198.73,186.72,199.75,188.14,134301269,1697685,190.507
3/5/24,183.05,177.57,184.59,180.74,119597758,1561606,180.7223
3/6/24,179.99,173.7,181.576,176.54,107869464,1431860,177.3458
3/7/24,174.35,173.7,180.04,178.65,102129004,1139995,177.7535
3/8/24,181.5,174.7,182.73,175.34,85544644,1126763,177.1599
3/11/24,175.445,174.8,182.87,177.77,85241528,1122686,178.9257
3/12/24,177.77,172.4101,179.43,177.54,87303524,1086084,176.5054
3/13/24,173.05,169.15,176.05,169.48,106518518,1440819,171.6156
3/14/24,167.77,160.51,171.17,162.5,126242246,1680187,164.1659
3/15/24,163.16,160.76,165.1845,163.57,96978832,1107043,162.8947
3/18/24,170.02,165.9,174.72,173.8,108207608,1321126,171.7105
3/19/24,172.36,167.42,172.82,171.32,77268528,937647,170.8851
3/20/24,173,170.82,176.25,175.66,83846726,919879,173.448
3/21/24,176.39,171.8,178.18,172.82,73067414,926376,174.343
3/22/24,166.69,166.3,171.2,170.83,75540637,943099,169.2659
3/25/24,168.76,168.73,175.24,172.63,74228615,901662,172.0334
3/26/24,178.58,177.38,184.25,177.67,113131227,1309171,180.6959
3/27/24,181.41,176,181.91,179.83,81804043,928815,179.1592
3/28/24,177.45,175.3,179.57,175.79,77633508,900670,176.7894
4/1/24,176.17,170.21,176.75,175.22,81562127,1050223,173.203
4/2/24,164.75,163.43,167.69,166.63,116639094,1474890,165.7981
4/3/24,164.02,163.28,168.82,168.38,82890791,955106,166.8987
